"","MapCountry","AgeChild","AgeAdult","AgeOlderAdult"
"269","United Kingdom","Yes","Yes","Yes"
"270","France","Yes","Yes","Yes"
"271","Italy","Yes","Yes","Yes"
"272","Netherlands","Yes","Yes","Yes"
"273","United States","No","Yes","Yes"
"274","United Kingdom","No","Yes","Yes"
"275","Israel","No","Yes","Yes"
"276","United States","No","Yes","Yes"
"277","United States","No","Yes","Yes"
"278","Egypt","Yes","Yes","Yes"
"279","United States","No","Yes","Yes"
"280","United States","No","Yes","Yes"
"281","United States","No","Yes","Yes"
"282","United States","Yes","Yes","Yes"
"284","United States","No","Yes","Yes"
"285","United States","No","Yes","Yes"
"286","United States","No","Yes","Yes"
"287","Egypt","No","Yes","No"
"288","Egypt","Yes","Yes","Yes"
"289","Brazil","No","Yes","Yes"
"290","Saudi Arabia","No","Yes","Yes"
"291","United Kingdom","No","Yes","Yes"
"293","Georgia","No","Yes","Yes"
"294","United States","No","Yes","Yes"
"295","Russian Federation","No","Yes","Yes"
"296","Belgium","No","Yes","Yes"
"297","India","No","Yes","Yes"
"298","Egypt","No","Yes","Yes"
"299","United States","No","Yes","Yes"
"300","Italy","No","Yes","Yes"
"301","United States","No","Yes","Yes"
"302","China","No","Yes","Yes"
"303","France","No","Yes","Yes"
"304","United States","No","Yes","Yes"
"305","Israel","No","Yes","Yes"
"306","India","No","Yes","Yes"
"308","Italy","No","Yes","Yes"
"309","Denmark","No","Yes","Yes"
"310","Belgium","No","Yes","Yes"
"312","United Kingdom","No","Yes","Yes"
"313","Australia","No","Yes","Yes"
"314","United Kingdom","No","Yes","Yes"
"315","United States","No","Yes","Yes"
"316","Georgia","No","Yes","Yes"
"317","Mexico","No","Yes","Yes"
"318","Georgia","No","Yes","Yes"
"319","United States","No","Yes","Yes"
"320","Denmark","No","Yes","Yes"
"321","United States","No","Yes","Yes"
"322","Germany","No","Yes","Yes"
"323","Georgia","No","Yes","Yes"
"324","United States","No","Yes","Yes"
"325","United States","No","Yes","Yes"
"326","Italy","No","Yes","Yes"
"327","Egypt","Yes","Yes","Yes"
"328","Italy","No","Yes","Yes"
"330","Denmark","No","Yes","Yes"
"331","Canada","No","Yes","Yes"
"332","Israel","No","Yes","Yes"
"333","United Kingdom","No","Yes","Yes"
"334","United States","No","Yes","Yes"
"335","Egypt","No","Yes","Yes"
"336","Poland","No","Yes","Yes"
"338","Brazil","No","Yes","Yes"
"339","Germany","No","Yes","Yes"
"340","United States","No","Yes","Yes"
"341","Denmark","No","Yes","Yes"
"342","United States","No","Yes","Yes"
"344","Georgia","No","Yes","Yes"
"345","United Kingdom","No","Yes","Yes"
"346","Turkey","No","Yes","Yes"
"347","United States","No","Yes","Yes"
"348","Germany","No","Yes","Yes"
"349","United States","No","Yes","Yes"
"350","Turkey","No","Yes","Yes"
"351","Italy","No","Yes","Yes"
"353","United States","No","Yes","Yes"
"354","Canada","No","Yes","Yes"
"355","Belgium","Yes","Yes","Yes"
"357","Canada","No","Yes","Yes"
"358","Spain","No","Yes","Yes"
"359","Denmark","No","Yes","Yes"
"360","Germany","Yes","Yes","Yes"
"362","Spain","Yes","Yes","Yes"
"363","United States","No","Yes","Yes"
"364","United States","No","Yes","Yes"
"365","United States","No","Yes","Yes"
"366","Russian Federation","No","Yes","Yes"
"367","United States","No","Yes","Yes"
"368","Brazil","No","Yes","Yes"
"369","United States","No","Yes","Yes"
"370","United Kingdom","Yes","Yes","Yes"
"371","Switzerland","No","Yes","Yes"
"372","Spain","No","Yes","Yes"
"373","Pakistan","Yes","Yes","Yes"
"374","United States","No","Yes","Yes"
"375","Chile","No","Yes","Yes"
"376","United States","No","Yes","Yes"
"377","United States","No","Yes","Yes"
"378","United States","No","Yes","Yes"
"379","United States","No","Yes","Yes"
"380","Spain","No","Yes","Yes"
"382","Mexico","No","Yes","Yes"
"383","Italy","Yes","Yes","Yes"
"384","United States","Yes","Yes","Yes"
"385","Hong Kong","No","Yes","Yes"
"386","Israel","No","Yes","Yes"
"387","United States","No","Yes","Yes"
"388","United Kingdom","Yes","Yes","Yes"
"389","Turkey","No","Yes","No"
"390","Israel","No","Yes","Yes"
"392","Sweden","No","Yes","Yes"
"394","United States","No","Yes","Yes"
"395","Argentina","No","Yes","Yes"
"396","United States","No","Yes","Yes"
"397","Spain","Yes","Yes","Yes"
"398","France","No","Yes","Yes"
"399","Spain","No","Yes","Yes"
"400","Jordan","No","Yes","Yes"
"401","Germany","No","Yes","Yes"
"402","United States","No","Yes","Yes"
"403","United Kingdom","No","Yes","Yes"
"405","Canada","No","Yes","Yes"
"406","United States","No","Yes","Yes"
"407","United States","No","Yes","Yes"
"408","United States","No","Yes","Yes"
"409","Egypt","No","Yes","Yes"
"410","Georgia","No","Yes","Yes"
"413","United States","No","Yes","No"
"414","Jordan","No","Yes","Yes"
"415","Turkey","No","Yes","Yes"
"416","Brazil","No","Yes","Yes"
"417","Spain","Yes","Yes","Yes"
"418","United States","No","Yes","Yes"
"419","United States","No","Yes","Yes"
"420","France","No","Yes","Yes"
"421","Qatar","No","Yes","Yes"
"423","Iran, Islamic Republic of","No","Yes","Yes"
"425","Malaysia","No","Yes","Yes"
"426","Iceland","No","Yes","Yes"
"427","United States","No","Yes","Yes"
"428","Sweden","Yes","Yes","Yes"
"429","Russian Federation","No","Yes","Yes"
"430","United States","No","Yes","Yes"
"431","Korea, Republic of","No","Yes","Yes"
"433","United States","No","Yes","Yes"
"434","United States","Yes","Yes","Yes"
"435","United States","No","Yes","Yes"
"436","Austria","No","Yes","Yes"
"437","Mexico","Yes","Yes","Yes"
"438","Israel","No","Yes","Yes"
"439","Georgia","No","Yes","Yes"
"441","Singapore","Yes","Yes","Yes"
"442","Jersey","No","Yes","Yes"
"443","United States","No","Yes","Yes"
"444","Canada","No","Yes","Yes"
"445","Denmark","No","Yes","Yes"
"446","United States","No","Yes","Yes"
"448","Belgium","No","Yes","Yes"
"449","United States","No","Yes","Yes"
"450","United States","No","Yes","Yes"
"451","Bahrain","No","Yes","Yes"
"452","Austria","No","Yes","Yes"
"453","Qatar","No","Yes","Yes"
"454","France","No","Yes","Yes"
"455","United States","No","Yes","Yes"
"456","Georgia","No","Yes","Yes"
"457","United States","No","Yes","Yes"
"458","Switzerland","No","Yes","Yes"
"460","Canada","No","Yes","Yes"
"461","United States","No","Yes","Yes"
"462","Germany","No","Yes","Yes"
"463","Brazil","No","Yes","Yes"
"464","Spain","Yes","Yes","Yes"
"465","Turkey","Yes","Yes","Yes"
"466","United States","Yes","Yes","Yes"
"467","France","No","Yes","Yes"
"469","Jordan","No","Yes","Yes"
"470","Georgia","No","Yes","No"
"471","United States","No","Yes","Yes"
"473","United States","No","Yes","Yes"
"474","United States","No","Yes","Yes"
"475","Colombia","No","Yes","Yes"
"476","United States","No","Yes","Yes"
"477","China","Yes","Yes","Yes"
"478","Israel","No","Yes","Yes"
"479","Korea, Republic of","Yes","Yes","Yes"
"481","United States","No","Yes","Yes"
"483","United States","No","Yes","Yes"
"484","Spain","No","Yes","Yes"
"485","Dominica","No","Yes","Yes"
"486","United States","No","Yes","Yes"
"487","Russian Federation","No","Yes","Yes"
"488","United States","No","Yes","Yes"
"489","Germany","No","Yes","Yes"
"490","United States","No","Yes","Yes"
"491","United States","No","Yes","Yes"
"492","Georgia","No","Yes","Yes"
"493","Netherlands","No","Yes","Yes"
"495","United States","No","Yes","Yes"
"497","Russian Federation","No","Yes","Yes"
"498","Mexico","No","Yes","Yes"
"499","Georgia","Yes","Yes","Yes"
"500","Spain","No","Yes","Yes"
"501","United States","No","Yes","No"
"504","China","No","Yes","Yes"
"505","Georgia","No","Yes","Yes"
"506","China","No","Yes","Yes"
"507","Denmark","Yes","Yes","Yes"
"508","Spain","No","Yes","Yes"
"509","China","Yes","Yes","Yes"
"510","Iran, Islamic Republic of","No","Yes","Yes"
"511","Brazil","No","Yes","Yes"
"512","France","No","Yes","Yes"
"513","Switzerland","No","Yes","Yes"
"514","United States","No","Yes","Yes"
"515","United States","No","Yes","Yes"
"516","United States","No","Yes","Yes"
"517","Australia","No","Yes","Yes"
"518","Denmark","No","Yes","Yes"
"519","China","No","Yes","Yes"
"520","United States","Yes","Yes","Yes"
"521","Brazil","No","Yes","Yes"
"522","France","No","Yes","Yes"
"524","Spain","Yes","Yes","Yes"
"525","United States","No","Yes","Yes"
"526","United States","No","Yes","Yes"
"527","Jersey","No","Yes","Yes"
"528","United States","No","Yes","Yes"
"529","Qatar","No","Yes","Yes"
"530","United Kingdom","No","Yes","Yes"
"531","United States","Yes","Yes","Yes"
"532","Brazil","No","Yes","Yes"
"533","Bangladesh","No","Yes","Yes"
"534","Qatar","No","Yes","Yes"
"535","China","Yes","Yes","Yes"
"536","Italy","Yes","Yes","No"
"537","France","No","Yes","Yes"
"538","Egypt","Yes","Yes","Yes"
"540","Italy","No","Yes","Yes"
"541","Spain","No","Yes","Yes"
"542","Argentina","No","Yes","No"
"543","Belarus","No","Yes","Yes"
"544","United States","No","Yes","Yes"
"545","Mexico","No","Yes","Yes"
"546","Russian Federation","No","Yes","Yes"
"547","Mexico","No","Yes","Yes"
"548","United States","Yes","Yes","Yes"
"549","Sweden","No","Yes","Yes"
"550","United States","No","Yes","Yes"
"551","Austria","Yes","Yes","Yes"
"552","Greece","No","Yes","Yes"
"554","United Arab Emirates","No","Yes","Yes"
"555","Colombia","No","Yes","Yes"
"556","France","No","Yes","Yes"
"557","Canada","No","Yes","Yes"
"558","United Kingdom","No","Yes","Yes"
"559","United States","No","Yes","Yes"
"560","Jersey","No","Yes","Yes"
"561","United States","No","Yes","Yes"
"562","United States","No","Yes","Yes"
"563","China","No","Yes","Yes"
"564","United States","No","Yes","Yes"
"565","United States","No","Yes","Yes"
"566","United States","Yes","Yes","Yes"
"567","Egypt","Yes","Yes","Yes"
"568","Spain","Yes","Yes","Yes"
"569","United States","No","Yes","Yes"
"570","Mexico","No","Yes","Yes"
"571","Germany","Yes","Yes","Yes"
"572","Australia","No","Yes","Yes"
"573","Austria","No","Yes","Yes"
"574","Italy","No","Yes","Yes"
